Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time
slither,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,OpenAddressLottery.forceReseed().s (smartbugs-dataset/other/open_address_lottery.sol#91) is a storage variable never initialized,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#uninitialized-storage-variables,1.3310530185699463
slither,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,OpenAddressLottery.participate() (smartbugs-dataset/other/open_address_lottery.sol#46-65) compares to a boolean constant:,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#boolean-equality,1.3310530185699463
slither,smartbugs-dataset/other/open_address_lottery.sol,Deprecated,Deprecated standard detected s.component2 = uint256(block.blockhash(block.number - 1)) (smartbugs-dataset/other/open_address_lottery.sol#93):,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#deprecated-standards,1.3310530185699463
slither,smartbugs-dataset/other/open_address_lottery.sol,Deprecated,Pragma version^0.4.19 (smartbugs-dataset/other/open_address_lottery.sol#6) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,1.3310530185699463
slither,smartbugs-dataset/other/open_address_lottery.sol,Variable,Variable OpenAddressLottery.LuckyNumber (smartbugs-dataset/other/open_address_lottery.sol#37) is not in mixedCase,High,SWC-ID: https://swcregistry.io/docs/SWC-102,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#conformance-to-solidity-naming-conventions,1.3310530185699463
slither,smartbugs-dataset/other/open_address_lottery.sol,Variable,Reentrancy in OpenAddressLottery.participate() (smartbugs-dataset/other/open_address_lottery.sol#46-65):,High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#reentrancy-vulnerabilities-4,1.3310530185699463
slither,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,OpenAddressLottery.LuckyNumber (smartbugs-dataset/other/open_address_lottery.sol#37) should be constant ,High,SWC-ID: https://swcregistry.io/docs/SWC-107,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#state-variables-that-could-be-declared-constant,1.3310530185699463
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,==== Transaction Order Dependence ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 12092 - 67789,5732.0747718811035
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,==== Transaction Order Dependence ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 12890 - 68917,5732.0747718811035
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,==== Dependence on predictable environment variable ====,Low,SWC-ID: https://swcregistry.io/docs/SWC-120,A control flow decision is made based on The block.number environment variable.,Estimated Gas Usage: 12069 - 67766,5732.0747718811035
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,==== Integer Arithmetic Bugs ====,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can underflow.,Estimated Gas Usage: 13001 - 69028,5732.0747718811035
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,==== Integer Arithmetic Bugs ====,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 34795 - 156726,5732.0747718811035
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,==== Integer Arithmetic Bugs ====,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 34795 - 156726,5732.0747718811035
